Day,Viral_load
0, 0
0, 0
0, 0
0, 0
0, 0 
1,3.773195876
2,5.216494845
3,5.505154639
4,5.010309278
5,5.917525773
6,5.793814433
7,3.484536082
8,5.381443299
9,4.948453608
10,4.144329897
11,4.226804124
12,4.309278351
13,5.257731959
14,4.597938144
15,4.288659794
16,4.515463918
17,3.340206186
18,4.618556701
19,3.917525773
20,4.412371134
21,4.103092784
22,2.412371134
23,2.639175258
24,2.103092784
25,1.93814433
26,1.010309278
27,0.989690722
28,0.969072165
29,0.969072165
30,0.989690722
