Day,Mean,Min,Max,Log10_STD,Num_Samples
6,5931.928068,5931.928068,5931.928068,0.0,1
7,164624.6426,164624.6426,164624.6426,0.0,1
8,320003.4341,870.4804787,98893803.9,2.5274557116155165,3
9,102402.1979,10570.52081,827702.7462,0.9468687258949711,3
10,827038.5873,11811.06764,47990958.09,1.804416752044459,5
11,622034.4431,1283.611901,269123542.5,2.6605898756548876,5
12,3051.659556,1.181106764,6850918.361,3.2485359655452335,5
13,240681.8267,52831.33271,977998.445,0.6337194108922701,4
14,88808.31049,67.81492741,88483013.14,3.0545886260973707,7
15,13942.15469,71.68391014,2015337.686,2.2214548794031925,10
16,16857.92526,3683.537201,71626.29116,0.6443477906699642,5
17,20383.48091,18.92816154,17635054.72,2.973454800612481,8
18,181022.2502,472.8232188,63377100.62,2.5631580176745308,7
19,39622.15969,358.2752993,4152957.512,2.0314651163412614,7
20,19438.36774,423.1613793,827702.7462,1.6451718990922182,6
21,32769.05505,659.5946257,1291549.665,1.6455882056093634,7
22,2188.800534,21.14955358,194919.403,1.9722461615466202,8
23,41548.62931,2791.149716,592852.7789,1.1635044454252854,5
24,8270.385873,147.4601593,379935.7365,1.7040506828867894,6
25,25844.6785,3484.726313,174399.7643,0.8496275495171925,5
26,12679.2272,29.50390616,4907058.732,2.6032329441495756,6
27,258.446785,6.595946257,10224.96513,1.564561212062758,6
28,435.6876584,12.14331748,14275.43569,1.517957397412646,5
29,126.792272,2.298506748,6552.772959,1.6490870076236448,6
30,86.72500429,1.117359102,6198.270585,1.7332730363093345,4
31,0.0,0.0,0.0,0.0,3
32,0.0,0.0,0.0,0.0,3
33,0.0,0.0,0.0,0.0,2
34,0.0,0.0,0.0,0.0,2
35,0.0,0.0,0.0,0.0,1
